id	name	playName	normalizedGenre	libretto	firstAuthor	title	subtitle	numOfCoAuthors	maxDegreeIds	numOfSegments	numOfActs	numOfSpeakers	numOfSpeakersMale	numOfSpeakersFemale	numOfSpeakersUnknown	numOfPersonGroups	numOfP	numOfL	wikipediaLinkCount	wordCountText	wordCountSp	wordCountStage	yearWritten	yearPremiered	yearPrinted	yearNormalized	averageDegree	density	averageClustering	size	maxDegree	numConnectedComponents	diameter	averagePathLength	corpus
rus000167	afinogenov-mashenka	afinogenov-mashenka	NA	FALSE	Афиногенов	Машенька	Пьеса в 3-х актах 7-ми сценах	0	several characters	7	3	12	5	6	1	0	827	4	1	14690	13392	2498	1940	1941	1941	1941	10.5	0.9545454545454546	0.9599326599326599	12	11	1	2	1.0454545454545454	rus
rus000194	andreyev-k-zvezdam	andreyev-k-zvezdam	NA	FALSE	Андреев	К звёздам	NA	0	several characters	4	4	13	9	4	0	0	953	44	0	14495	13417	1328	1905	1906	NA	1906	11.384615384615385	0.9487179487179487	0.9580419580419581	13	12	1	2	1.0512820512820513	rus
rus000137	andreyev-mysl	andreyev-mysl	Tragedy	FALSE	Андреев	Мысль	Современная трагедия в трех действиях и шести картинах	0	kerzhentsev	6	3	15	9	6	0	0	667	0	0	13677	12576	1991	1913	1914	1914	1914	5.2	0.37142857142857144	0.8108994708994709	15	9	1	3	1.9142857142857144	rus
rus000138	andreyev-ne-ubiy	andreyev-ne-ubiy	NA	FALSE	Андреев	Не убий	NA	0	yakov|vasilisa_petrovna	6	5	23	14	9	0	0	972	0	0	20008	17691	3151	1913	1913	1913	1913	12.956521739130435	0.5889328063241107	0.9121040025468616	23	21	1	3	1.4150197628458498	rus
rus000211	artsybashev-revnost	artsybashev-revnost	NA	FALSE	Арцыбашев	Ревность	Драма въ 5-ти дѣйствіяхъ	0	elena_nikolaevna|sergej_petrovich|knjaz	5	5	11	8	3	0	0	1182	0	0	21625	20958	4198	NA	1914	1913	1913	8.727272727272727	0.8727272727272727	0.9575757575757575	11	10	1	2	1.1272727272727272	rus
rus000119	babel-marija	babel-marija	NA	FALSE	Бабель	Мария	Пьеса в 8 картинах	0	katya	8	0	22	14	8	0	0	573	22	2	8982	8164	1156	1934	1964	1935	1935	6.7272727272727275	0.3203463203463203	0.8762714558169105	22	14	1	3	1.9090909090909092	rus
rus000118	babel-zakat	babel-zakat	NA	FALSE	Бабель	Закат	Пьеса в 8 сценах	0	mendel	8	0	37	27	8	2	2	634	24	3	9111	7467	2486	NA	1927	1928	1927	14.108108108108109	0.3918918918918919	0.8985210910715256	37	32	1	3	1.6741741741741742	rus
rus000205	belsky-skazanie-o-nevidimom-grade-kitezhe	belsky-skazanie-o-nevidimom-grade-kitezhe	NA	FALSE	Бельский	Сказание о невидимом граде Китеже и деве Февронии	NA	0	fevronija	6	4	17	11	1	5	4	0	1439	12	8600	7624	1752	1903	1907	1907	1907	10.117647058823529	0.6323529411764706	0.8894239747180925	17	16	1	2	1.3676470588235294	rus
rus000022	blok-balaganchik	blok-balaganchik	NA	FALSE	Блок	Балаганчик	NA	0	pero|arlekin	3	0	16	11	4	1	1	25	174	0	2251	1817	874	1906	1906	1906	1906	9	0.6	0.9428571428571428	16	15	1	2	1.4	rus
rus000075	blok-korol-na-ploschadi	blok-korol-na-ploschadi	NA	FALSE	Блок	Король на площади	NA	0	golosa_v_tolpe	23	3	29	23	4	2	1	217	197	0	5562	5147	1668	1906	NA	1907	1907	4.344827586206897	0.15517241379310345	0.6592202816340746	29	12	6	4	1.793103448275862	rus
rus000074	blok-neznakomka	blok-neznakomka	NA	FALSE	Блок	Незнакомка	NA	0	poet	3	0	34	28	4	2	1	116	222	0	4344	3791	1442	1906	1913	1907	1907	15.823529411764707	0.47950089126559714	0.9540999121389291	34	33	1	2	1.5204991087344029	rus
rus000193	bulgakov-adam-i-eva	bulgakov-adam-i-eva	NA	FALSE	Булгаков	Адам и Ева	Пьеса в четырех актах	0	several characters	4	4	13	9	4	0	0	897	0	2	14682	13447	2055	1931	NA	1971	1931	10.153846153846153	0.8461538461538461	0.9160839160839161	13	12	1	2	1.1538461538461537	rus
rus000192	bulgakov-batum	bulgakov-batum	NA	FALSE	Булгаков	Батум	Пьеса в четырех действиях	0	stalin	10	4	36	35	1	0	1	952	14	2	14320	12191	3177	1936/1939	1992	1977	1939	13.277777777777779	0.37936507936507935	0.8777708584216357	36	31	2	3	1.5574387947269304	rus
rus000134	bulgakov-beg	bulgakov-beg	NA	FALSE	Булгаков	Бег	Восемь снов / Пьеса в четырех действиях	0	charnota	8	4	40	33	7	0	4	893	0	4	16019	13503	3820	1928	1957	NA	1928	15.55	0.39871794871794874	0.9163799599443883	40	38	1	3	1.6128205128205129	rus
rus000073	bulgakov-dni-turbinyh	bulgakov-dni-turbinyh	NA	FALSE	Булгаков	Дни Турбиных	Пьеса в четырех действиях	0	galanba|kirpatyj|uragan	7	4	29	27	1	1	2	1364	59	3	16537	15606	1397	1925/1926	1926	1955	1926	11.517241379310345	0.41133004926108374	0.9057496066677234	29	19	1	4	1.896551724137931	rus
rus000083	bulgakov-ivan-vasilevich	bulgakov-ivan-vasilevich	Comedy	FALSE	Булгаков	Иван Васильевич	Комедия в трех действиях	0	several characters	3	3	16	13	3	0	2	656	0	7	10361	9595	1512	1934/1936	1967	1965	1936	13	0.8666666666666667	0.9400183150183152	16	15	1	2	1.1333333333333333	rus
rus000090	bulgakov-kabala-svjatosh	bulgakov-kabala-svjatosh	NA	FALSE	Булгаков	Кабала святош (Мольер)	Драма в четырех действиях	0	muarron|moler	4	4	24	17	6	1	0	704	48	4	11387	9210	3359	NA	1936	1962	1936	15	0.6521739130434783	0.8582529922123912	24	23	1	2	1.3478260869565217	rus
