gender	word	n	log_odds_weighted	corpus
FEMALE	vous	88367	10.922341463042901	fre
FEMALE	époux	2423	9.449338074357641	fre
FEMALE	mère	3007	8.785121531373756	fre
FEMALE	amant	2359	7.6201551811476405	fre
FEMALE	mari	1512	7.5753501811977415	fre
FEMALE	tante	751	7.313182964095743	fre
FEMALE	hélas	3323	7.278555669902052	fre
FEMALE	coeur	11467	7.218448670103167	fre
FEMALE	rivale	438	7.202715804974177	fre
FEMALE	ne	48364	6.941402749209933	fre
FEMALE	malheureuse	730	6.863200726442324	fre
FEMALE	quil	16404	6.5279349252677425	fre
FEMALE	mon	35529	6.323794873984411	fre
FEMALE	me	34482	5.892134606356756	fre
FEMALE	maman	403	5.592059715146132	fre
FEMALE	frère	2627	5.372104034527612	fre
FEMALE	fâchée	287	5.358093586633558	fre
FEMALE	père	6178	5.29008831757966	fre
FEMALE	obligée	233	5.16076096046042	fre
FEMALE	sûre	457	5.120303958267281	fre
FEMALE	dorante	507	5.01446183187087	fre
FEMALE	il	38106	4.987784778520463	fre
FEMALE	soeur	2149	4.894083625461196	fre
FEMALE	amour	5163	4.892493016435776	fre
FEMALE	lui	14584	4.855573951682621	fre
FEMALE	heureuse	798	4.845362416368625	fre
FEMALE	que	85553	4.831466584090343	fre
FEMALE	pleurs	1548	4.77397265482513	fre
FEMALE	cruel	1533	4.7098227307613785	fre
FEMALE	lamour	4737	4.709178466257264	fre
FEMALE	chevalier	773	4.665442021205174	fre
FEMALE	seule	1795	4.608381430885809	fre
FEMALE	aimée	355	4.526664532600022	fre
FEMALE	lingrat	298	4.317445929310598	fre
FEMALE	valère	422	4.289724495020541	fre
FEMALE	aime	2050	4.134665141649545	fre
FEMALE	aimer	1142	4.057300196834716	fre
FEMALE	maime	518	3.9856215252884732	fre
FEMALE	hans	92	3.969781194744544	fre
FEMALE	chère	1798	3.92340136468989	fre
FEMALE	ingrat	715	3.868802304438677	fre
FEMALE	pas	29788	3.836153074697131	fre
FEMALE	contente	482	3.75964664770227	fre
FEMALE	êtes	3235	3.675560083213009	fre
FEMALE	réduite	249	3.6578761630031216	fre
FEMALE	lisette	738	3.646466176850773	fre
FEMALE	votre	18626	3.629765616965791	fre
FEMALE	mademoiselle	1307	3.5990666064249255	fre
FEMALE	crains	1512	3.5390596786982895	fre
FEMALE	laime	655	3.513189973308944	fre
FEMALE	léandre	323	3.478361529474406	fre
FEMALE	si	26885	3.4727820643870544	fre
FEMALE	amie	403	3.4578734983680057	fre
FEMALE	douleurs	663	3.4431495982836324	fre
FEMALE	roméo	115	3.387382385459012	fre
FEMALE	larmes	1226	3.3558421182434994	fre
FEMALE	charmée	181	3.3509516376846715	fre
FEMALE	tendresse	1214	3.3492276718763603	fre
FEMALE	ma	27678	3.3378414224022563	fre
FEMALE	thésée	257	3.297067408389337	fre
FEMALE	jason	195	3.2703849444489625	fre
FEMALE	servante	226	3.2397242263400954	fre
FEMALE	théodat	106	3.234159971638691	fre
FEMALE	persuadée	100	3.2130283145772176	fre
FEMALE	peutêtre	2766	3.2124988858760473	fre
FEMALE	maimez	366	3.171713688507217	fre
FEMALE	derville	61	3.165103646942221	fre
FEMALE	triste	1326	3.151636251700293	fre
