gender	word	n	log_odds_weighted	corpus
FEMALE	vous	88367	12.6267538441701	fre
FEMALE	époux	2423	9.688363192617786	fre
FEMALE	mère	3007	9.059304989120228	fre
FEMALE	ne	48364	8.195934321980051	fre
FEMALE	amant	2359	7.863718366494381	fre
FEMALE	coeur	11467	7.803405006213574	fre
FEMALE	mari	1512	7.7636461249873685	fre
FEMALE	hélas	3323	7.576005256125617	fre
FEMALE	tante	751	7.437500175940469	fre
FEMALE	mon	35529	7.393510795087053	fre
FEMALE	rivale	438	7.291352579053561	fre
FEMALE	quil	16404	7.239405021104442	fre
FEMALE	malheureuse	730	6.987188145680557	fre
FEMALE	me	34482	6.947541119972943	fre
FEMALE	que	85553	6.541199834927626	fre
FEMALE	il	38106	6.10493183613705	fre
FEMALE	ménon	56	5.918321418218367	fre
FEMALE	père	6178	5.71896115667527	fre
FEMALE	sifroy	52	5.703034971283846	fre
FEMALE	zirphée	52	5.703034971283846	fre
FEMALE	maman	403	5.682174339100392	fre
FEMALE	frère	2627	5.6418752947547315	fre
FEMALE	lui	14584	5.533020875003713	fre
FEMALE	fâchée	287	5.431630439858598	fre
FEMALE	amour	5163	5.2841726299943055	fre
FEMALE	obligée	233	5.225753845025565	fre
FEMALE	sûre	457	5.219690338761818	fre
FEMALE	soeur	2149	5.137881913433136	fre
FEMALE	lidamant	42	5.125409625275017	fre
FEMALE	dorante	507	5.120748735569633	fre
FEMALE	lamour	4737	5.084196739811775	fre
FEMALE	heureuse	798	4.985086769511122	fre
FEMALE	pleurs	1548	4.977847160731755	fre
FEMALE	cruel	1533	4.912903950703428	fre
FEMALE	seule	1795	4.830515491366608	fre
FEMALE	pas	29788	4.824935077675466	fre
FEMALE	chevalier	773	4.803430346641717	fre
FEMALE	rosalide	35	4.678834219734085	fre
FEMALE	aimée	355	4.614200954639141	fre
FEMALE	célanire	32	4.473819891686854	fre
FEMALE	si	26885	4.412393263872569	fre
FEMALE	votre	18626	4.406154590937723	fre
FEMALE	célanie	31	4.403361197859495	fre
FEMALE	lingrat	298	4.396938090076364	fre
FEMALE	valère	422	4.387921221692065	fre
FEMALE	aime	2050	4.375971481311277	fre
FEMALE	ma	27678	4.292429076407332	fre
FEMALE	aimer	1142	4.23260301108205	fre
FEMALE	brunon	28	4.184873661735166	fre
FEMALE	chère	1798	4.1491220236798085	fre
FEMALE	maime	518	4.097818288743923	fre
FEMALE	julia	26	4.032644369961786	fre
FEMALE	hans	92	4.007995432809544	fre
FEMALE	ingrat	715	4.004369724610777	fre
FEMALE	êtes	3235	3.986473969813802	fre
FEMALE	cléomédon	25	3.954332751467673	fre
FEMALE	orismond	24	3.8744386239306468	fre
FEMALE	sosarme	24	3.8744386239306468	fre
FEMALE	contente	482	3.868258893274845	fre
FEMALE	acorate	23	3.7928619851520344	fre
FEMALE	mademoiselle	1307	3.7902337370281067	fre
FEMALE	lisette	738	3.7855369078748726	fre
FEMALE	crains	1512	3.746331208925597	fre
FEMALE	réduite	249	3.731747697382242	fre
FEMALE	laime	655	3.6438360780214043	fre
FEMALE	alice	21	3.6242044028466514	fre
FEMALE	douleurs	663	3.575024434850505	fre
FEMALE	léandre	323	3.565473937749088	fre
FEMALE	amie	403	3.557094131319175	fre
FEMALE	larmes	1226	3.541630901194824	fre
FEMALE	tendresse	1214	3.5340556152429383	fre
FEMALE	peutêtre	2766	3.5009223133714977	fre
FEMALE	mignonnet	19	3.4473053324203513	fre
FEMALE	roméo	115	3.4339472268596163	fre
FEMALE	charmée	181	3.4129598827519434	fre
FEMALE	thésée	257	3.3739169599644443	fre
FEMALE	sil	4815	3.3687236058842362	fre
FEMALE	je	87467	3.368632353559842	fre
FEMALE	prévannes	18	3.3553602899522534	fre
FEMALE	zulmée	18	3.3553602899522534	fre
FEMALE	triste	1326	3.346546315715286	fre
FEMALE	jason	195	3.3356158757309955	fre
FEMALE	servante	226	3.3111481694866507	fre
FEMALE	théodat	106	3.2789347363634063	fre
FEMALE	maimez	366	3.2668320817956484	fre
FEMALE	douleur	1689	3.2617401298477353	fre
FEMALE	orasie	17	3.2608237521173535	fre
FEMALE	persuadée	100	3.25624200971165	fre
FEMALE	haïr	511	3.2357137158329974	fre
FEMALE	soupirs	825	3.2216296964921853	fre
FEMALE	tyran	793	3.220827851770489	fre
FEMALE	jalouse	310	3.2059399043986403	fre
FEMALE	derville	61	3.196455632588488	fre
FEMALE	trompée	232	3.18908136467674	fre
FEMALE	point	13515	3.186635737932137	fre
FEMALE	pleurer	395	3.144437634867741	fre
FEMALE	ce	39028	3.117365874262252	fre
FEMALE	monsieurteissier	68	3.1127535291362785	fre
FEMALE	choix	1263	3.093630083379548	fre
FEMALE	maimer	242	3.0833402738953994	fre
FEMALE	rodrigue	112	3.0745779001329714	fre
FEMALE	phénice	122	3.0725567167632977	fre
FEMALE	héros	922	3.0692875024187374	fre
FEMALE	cléone	78	3.064219387811039	fre
FEMALE	baliveaux	15	3.063009960141988	fre
FEMALE	faustine	15	3.063009960141988	fre
FEMALE	lépaine	15	3.063009960141988	fre
FEMALE	yeu	15	3.063009960141988	fre
FEMALE	avez	3089	3.0309221069243697	fre
FEMALE	lindor	99	3.0115778220217506	fre
FEMALE	perdue	254	3.006962165096981	fre
FEMALE	âme	4017	2.974764878919442	fre
FEMALE	hersile	14	2.9591484623960476	fre
FEMALE	monique	14	2.9591484623960476	fre
FEMALE	persinet	14	2.9591484623960476	fre
FEMALE	honte	1212	2.954490550217562	fre
FEMALE	amante	287	2.91769894213378	fre
FEMALE	daimer	463	2.915788171080601	fre
FEMALE	née	186	2.900176274894023	fre
FEMALE	ah	9937	2.8876633724416436	fre
FEMALE	miss	53	2.86099209767891	fre
FEMALE	amies	111	2.857925058076983	fre
FEMALE	comtin	13	2.851506527364396	fre
FEMALE	dutor	13	2.851506527364396	fre
FEMALE	liouli	13	2.851506527364396	fre
FEMALE	mustafa	13	2.851506527364396	fre
FEMALE	philemond	13	2.851506527364396	fre
FEMALE	sénanges	13	2.851506527364396	fre
FEMALE	sévin	13	2.851506527364396	fre
FEMALE	quoi	6587	2.848868017031447	fre
FEMALE	sais	4185	2.8486460025794202	fre
FEMALE	aimez	440	2.8394809077307466	fre
FEMALE	haine	1795	2.8129779797540797	fre
FEMALE	cacher	808	2.8048392949562206	fre
FEMALE	prête	561	2.799453116623593	fre
FEMALE	maux	1529	2.7959988064980257	fre
FEMALE	condamnée	123	2.793854027893783	fre
FEMALE	taime	313	2.7827677851909027	fre
FEMALE	pourquoi	2676	2.7769099763948217	fre
FEMALE	mais	25521	2.775343318330637	fre
FEMALE	venue	287	2.772626137795284	fre
FEMALE	trouble	1143	2.745044095708842	fre
