chr	char_name	median_acc
ENG18440_Disraeli_1793	the NEW Generation	0
ENG18440_Disraeli_1795	statemongers	0
ENG18460_Reynolds_889	Diana Arlington	0.3333333333333333
ENG18470_Aguilar_102	Herbert	0
ENG18470_Aguilar_143	Mary	0
ENG18470_Aguilar_3420	mamma	0
ENG18470_Aguilar_78	aunt Emmeline	0.3333333333333333
ENG18470_Aguilar_80	Mamma	0
ENG18490_Skene_771	He	0
ENG18490_Skene_772	she	0
ENG18630_Craik_97	Henry Leaf the younger	0.3333333333333333
ENG18670_Ouida_409	"the Hon . Bertie himself , second son of Viscount Royallieu , known generally in the Brigades as "" Beauty"	0.3333333333333333
ENG18670_Ouida_6649	your mistress	0
ENG18741_Bulwer_352	M. Frederic Lemercier	0.3333333333333333
ENG18760_Collins_103	Mrs. Van Brandt	0.3333333333333333
ENG18760_Collins_74	Master George	0.3333333333333333
ENG18870_Barry_8401	The solicitor	0
ENG18901_Broughton_193	Elizabeth	0.3333333333333333
ENG18901_Broughton_201	herself	0
ENG18901_Broughton_222	Cecilia	0.3333333333333333
ENG18970_Phillpots_192	Joe Noy	0.3333333333333333
ENG19070_Machen_1501	they	0
ENG19070_Machen_1502	Your	0
ENG19070_Machen_231	Cousin Edward	0
ENG19070_Machen_340	his mother	0
ENG19070_Machen_73	Master Lucian	0
ENG19100_Forster_249	Charles Wilcox	0.3333333333333333
