chr	char_name	median_acc
ENG18460_Reynolds_26649	your	0.9285714285714286
ENG18460_Reynolds_3220	the Resurrection Man	0.875
ENG18500_Ainsworth_92	Mr. Ginger	0.875
ENG18530_Dickens_305	Miss Esther Summerson	0.9
ENG18530_Dickens_320	Richard Carstone	0.875
ENG18530_Dickens_734	Mr. Bucket , buttoned up	0.9
ENG18530_Dickens_9019	yourself	0.9
ENG18560_Yonge_7391	himself	1
ENG18632_Reade_1075	yourself	1
ENG18632_Reade_255	Miss Julia Dodd	0.9
ENG18632_Reade_357	Dr. Sampson	0.9
ENG18641_Stretton_19	Stephen Fern	0.875
ENG18650_Trollope_357	Still Mr. Vavasor	0.8846153846153846
ENG18651_Yonge_180	Alison Williams	0.875
ENG18661_Oliphant_88	Miss Marjoribanks	1
ENG18670_Ouida_628	Bertie Cecil	1
ENG18721_Eliot_175	Brooke of Tipton	0.875
ENG18721_Eliot_283	Poor Rosamond	0.9
ENG18760_Collins_659	her	0.875
ENG18770_Mallock_100	Mr. Rose	1
ENG18770_Mallock_83	old Mr. Laurence	0.9
ENG18820_Anstey_248	the Doctor	1
ENG18840_Lee_361	Hamlins	1
ENG18871_Broughton_148	wretched Esther	1
ENG18880_Ward_9352	the squire	0.875
ENG18960_Malet_84	Mr. Perry	0.875
ENG19004_Fowler_123	Mrs. Bateson	0.875
ENG19180_Lewis_122	himself	1
